psgc_code,name,corr_code,geo_level,city_class,inc_class,urb_rur,pop_2015,pop_2020,status,adm3_pcode,adm3_en,adm3_alt,adm2_pcode,adm1_pcode,adm0_pcode,shape_len,shape_area,shape_sqkm,_count,_sum,_mean,_min,_max,_variance,year
908309000,Naga,98309000.0,Mun,,,3rd*,,,,PH0908309,Naga,,PH09083,PH09,PH,1.14514447784,0.0124487863496,151.83778344,715.0,0.04637008160352707,6.485326098395394e-05,0.0,0.03485525399446487,1.812483452863489e-06,2011
908310000,Olutanga,98310000.0,Mun,,,4th,,,,PH0908310,Olutanga,,PH09083,PH09,PH,0.869731525146,0.00535835157228,65.4306431461,312.0,0.0,0.0,0.0,0.0,0.0,2011
908311000,Payao,98311000.0,Mun,,,3rd,,,,PH0908311,Payao,,PH09083,PH09,PH,1.33538111446,0.0157552836437,192.279611148,908.0,0.0,0.0,0.0,0.0,0.0,2011
908312000,Roseller Lim,98312000.0,Mun,,,3rd,,,,PH0908312,Roseller Lim,,PH09083,PH09,PH,0.878493740347,0.0173276802101,211.414280705,996.0,0.08454599976539612,8.488554193312863e-05,0.0,0.02628519386053085,1.665699629491049e-06,2011
908313000,Siay,98313000.00000001,Mun,,,2nd,,,,PH0908313,Siay,,PH09083,PH09,PH,1.02147187652,0.0186924023564,228.048008761,1074.0,0.0,0.0,0.0,0.0,0.0,2011
908314000,Talusan,98314000.0,Mun,,,5th,,,,PH0908314,Talusan,,PH09083,PH09,PH,0.569928073421,0.00380527293219,46.4628997311,220.0,0.0,0.0,0.0,0.0,0.0,2011
908315000,Titay,98315000.0,Mun,,,2nd,,,,PH0908315,Titay,,PH09083,PH09,PH,0.917494951918,0.0244041237802,297.654761677,1411.0,0.05443067848682404,3.857595923942172e-05,0.0,0.01295396685600281,4.146354334443015e-07,2011
908316000,Tungawan,98316000.0,Mun,,,2nd,,,,PH0908316,Tungawan,,PH09083,PH09,PH,1.85157266037,0.0282063450468,344.249139047,1631.0,0.4754429422318935,0.0002915039498662744,0.0,0.1092102155089378,2.658264076111636e-05,2011
931700000,City of Zamboanga,97332000.0,City,,HUC,1st,,,,PH0907332,Zamboanga City,,PH09073,PH09,PH,4.71951162577,0.122560030019,1497.15480368,7076.0,1103.211896337569,0.1559089734790233,0.0,22.65301322937012,1.267529126566092,2011
990101000,City of Isabela,99701000.0,City,,CC,4th,,,,PH0909701,City of Isabela,,PH09097,PH09,PH,1.23103306429,0.0179801989504,219.869683721,1030.0,2.006893172860146,0.001948439973650627,0.0,0.3343967199325562,0.0005382985924741213,2011
1001301000,Baungon,101301000.0,Mun,,,2nd,,,,PH1001301,Baungon,,PH10013,PH10,PH,1.24355290509,0.0345884459224,421.465347448,1996.0,7.136175870895386,0.003575238412272237,0.0,2.676976680755615,0.006225229394759767,2011
1001302000,Damulog,101302000.0,Mun,,,4th,,,,PH1001302,Damulog,,PH10013,PH10,PH,0.68723269538,0.014130792678,172.503861158,812.0,0.0,0.0,0.0,0.0,0.0,2011
1001303000,Dangcagan,101303000.0,Mun,,,3rd,,,,PH1001303,Dangcagan,,PH10013,PH10,PH,0.486019346494,0.00600710075981,73.3101107505,344.0,0.0,0.0,0.0,0.0,0.0,2011
1001304000,Don Carlos,101304000.0,Mun,,,1st,,,,PH1001304,Don Carlos,,PH10013,PH10,PH,0.968187007485,0.0177592545656,216.684667407,1021.0,4.546546660363674,0.00445303296803494,0.0,2.415640592575073,0.009405598688289187,2011
1001305000,Impasug-ong,101305000.0,Mun,,,1st,,,,PH1001305,Impasug-ong,,PH10013,PH10,PH,1.69334596127,0.0783737342059,954.646171523,4504.0,0.03654597699642181,8.11411567416115e-06,0.0,0.03480888903141022,2.696224893238156e-07,2011
1001306000,Kadingilan,101306000.0,Mun,,,3rd,,,,PH1001306,Kadingilan,,PH10013,PH10,PH,0.904295269467,0.01367126675,166.864106472,790.0,0.0,0.0,0.0,0.0,0.0,2011
1001307000,Kalilangan,101307000.0,Mun,,,2nd,,,,PH1001307,Kalilangan,,PH10013,PH10,PH,0.961006474089,0.0178441656901,217.67672958,1029.0,0.0,0.0,0.0,0.0,0.0,2011
1001308000,Kibawe,101308000.0,Mun,,,2nd,,,,PH1001308,Kibawe,,PH10013,PH10,PH,0.744525884653,0.0142767351447,174.261296972,817.0,0.0,0.0,0.0,0.0,0.0,2011
1001309000,Kitaotao,101309000.0,Mun,,,1st,,,,PH1001309,Kitaotao,,PH10013,PH10,PH,1.55409293734,0.0316840416715,386.695314961,1828.0,0.0,0.0,0.0,0.0,0.0,2011
1001310000,Lantapan,101310000.0,Mun,,,1st,,,,PH1001310,Lantapan,,PH10013,PH10,PH,0.935280939071,0.0291842752735,355.774581091,1688.0,0.0,0.0,0.0,0.0,0.0,2011
1001311000,Libona,101311000.0,Mun,,,1st,,,,PH1001311,Libona,,PH10013,PH10,PH,0.8689513056,0.0221946977845,270.387447167,1277.0,0.0,0.0,0.0,0.0,0.0,2011
1001312000,City of Malaybalay,101312000.0,City,,CC,1st,,,,PH1001312,City of Malaybalay (Capital),,PH10013,PH10,PH,1.60446095452,0.0823805299084,1004.03171071,4742.0,223.868167001754,0.04720965141327584,0.0,16.37508964538574,0.3620456815962714,2011
1001313000,Malitbog,101313000.0,Mun,,,2nd,,,,PH1001313,Malitbog,,PH10013,PH10,PH,0.879997792895,0.031348085544,381.713952987,1806.0,0.0,0.0,0.0,0.0,0.0,2011
1001314000,Manolo Fortich,101314000.0,Mun,,,1st,,,,PH1001314,Manolo Fortich,,PH10013,PH10,PH,1.53072183704,0.0358363919024,436.532957143,2059.0,11.84133655205369,0.005751013381279111,0.0,1.017452001571655,0.00356762839504676,2011
1001315000,Maramag,101315000.0,Mun,,,1st,,,,PH1001315,Maramag,,PH10013,PH10,PH,0.96834252813,0.0262743222629,320.490226383,1524.0,107.7420077845454,0.07069685550167022,0.0,6.217952728271484,0.2549661908301294,2011
1001316000,Pangantucan,101316000.0,Mun,,,1st,,,,PH1001316,Pangantucan,,PH10013,PH10,PH,1.44865099554,0.0353082404658,430.691338282,2031.0,0.0,0.0,0.0,0.0,0.0,2011
1001317000,Quezon,101317000.0,Mun,,,1st,,,,PH1001317,Quezon,,PH10013,PH10,PH,1.20557535241,0.053048425485,647.225187888,3043.0,38.92036020755768,0.01279012823120528,0.0,5.437075614929199,0.03986794011772689,2011
1001318000,San Fernando,101318000.0,Mun,,,1st,,,,PH1001318,San Fernando,,PH10013,PH10,PH,1.09232604468,0.0496277509695,605.349655758,2857.0,0.0,0.0,0.0,0.0,0.0,2011
1001319000,Sumilao,101319000.0,Mun,,,4th,,,,PH1001319,Sumilao,,PH10013,PH10,PH,0.618356049746,0.013830733631,168.513230017,801.0,0.0,0.0,0.0,0.0,0.0,2011
1001320000,Talakag,101320000.0,Mun,,,1st,,,,PH1001320,Talakag,,PH10013,PH10,PH,1.69539596873,0.0803093656172,979.035821019,4627.0,0.0,0.0,0.0,0.0,0.0,2011
1001321000,City of Valencia,101321000.0,City,,CC,2nd,,,,PH1001321,City of Valencia,,PH10013,PH10,PH,1.57517025594,0.0547603335758,667.801218018,3153.0,229.6955875232816,0.07284985332168778,0.0,14.60080623626709,0.5028918627457676,2011
1001322000,Cabanglasan,101322000.0,Mun,,,3rd,,,,PH1001322,Cabanglasan,,PH10013,PH10,PH,0.877174135313,0.0251680662668,306.806125596,1445.0,0.0,0.0,0.0,0.0,0.0,2011
1001801000,Catarman,101801000.0,Mun,,,5th,,,,PH1001801,Catarman,,PH10018,PH10,PH,0.340714849897,0.00606733627504,73.7541829299,348.0,0.0,0.0,0.0,0.0,0.0,2011
1001802000,Guinsiliban,101802000.0,Mun,,,6th,,,,PH1001802,Guinsiliban,,PH10018,PH10,PH,0.276992277973,0.00247378220523,30.0751862381,141.0,0.0,0.0,0.0,0.0,0.0,2011
1001803000,Mahinog,101803000.0,Mun,,,5th,,,,PH1001803,Mahinog,,PH10018,PH10,PH,0.265435756464,0.00251526591936,30.5755034404,145.0,0.0,0.0,0.0,0.0,0.0,2011
1001804000,Mambajao,101804000.0,Mun,,,3rd,,,,PH1001804,Mambajao (Capital),,PH10018,PH10,PH,0.384180762842,0.00598774069358,72.7762541324,345.0,0.0,0.0,0.0,0.0,0.0,2011
1001805000,Sagay,101805000.0,Mun,,,5th,,,,PH1001805,Sagay,,PH10018,PH10,PH,0.266942600428,0.00290788304545,35.3519616591,170.0,0.0,0.0,0.0,0.0,0.0,2011
